brewery_id;name;cat_id;style_id;abv
1030;Thunder Head IPA;3;31;6,7
1030;Amber Weizen;8;95;5,5
1030;Hefeweizen;8;95;5,2
494;No Doubt Stout;3;42;5,75
494;Riot Ale;3;26;7,5
494;IPA;3;31;5,5
494;Alembic Pale;3;26;5,5
494;Luna Weizen;8;95;4,5
1185;Cream Stout;3;42;6,5
160;MoJo India Pale Ale;3;31;6,8
526;Old Woody 2005;1;13;10
431;Urthel Hop-It;5;72;9,5
641;Super Natural Oatmeal Stout;3;42;8
641;Imperial Gold Malt Liquor;8;95;9,9
1177;Double Daddy;3;26;9,5
21;Wee Heavy;1;15;9,5
540;Horn Dog;3;35;10,2
459;Olde School Barleywine;3;35;15,04
1115;Urbock 23Â°;7;92;9,6
1204;Stone IPA;3;31;6,9
221;Hefe-Weizen;4;50;5,2
368;Xingu;7;86;4,7
562;Slip Knot Imperial IPA 2006;3;31;7,8
447;Bottleworks IPA;3;31;8,5
919;Old Rasputin Russian Imperial Stout;3;43;9
604;Yeti Imperial Stout;3;43;9,5
745;Winter-Traum;7;84;5,4
301;Poperings Hommel Ale;3;26;7,5
590;Princess of Darkness Porter;2;25;4,6
590;Impromptu Pale Ale;3;26;5
590;Steinworthy Oktoberfest;7;84;6
590;Bugeater Brown Ale;3;38;4,4
590;Tin Lizzie Hefeweizen;4;50;5,5
169;Orval Trappist Ale;5;72;6,9
671;Entire Stout;3;42;4,5
1056;Ivanhoe;3;26;5,2
370;Negra;7;86;5,4
1303;DoppelSticke;7;90;8,5
1303;Sticke;3;38;6
1303;Alt;3;38;4,5
742;Hitachino Nest Japanese Classic Ale;1;2;7
1204;9th Anniversary IPA;3;31;7,5
622;Adam;1;13;10
1307;Terrible;5;72;10,5
935;5 Barrel Pale Ale;1;1;5,3
175;Blonde;5;72;6
1331;Baltas Alus;4;50;5,2
1177;Untouchable Pale Ale;3;26;5,5
21;X Extra Pale Ale;3;26;5
892;Moylander Double IPA;3;32;8,5
