brewery_id,name,cat_id,style_id,abv
497.0,Foster Child Australian Lager,8.0,95.0,4.0
496.0,Elysian Fields Pale Ale,3.0,26.0,4.8
496.0,Perseus Porter,2.0,25.0,5.4
496.0,The Wise ESB,1.0,5.0,5.9
496.0,Ambrosia Maibock,7.0,90.0,5.3
1296.0,Imperial Stout,3.0,42.0,6.2
1296.0,Imperial I.P.A.,3.0,26.0,7.2
1296.0,N.W. Pale Ale,3.0,26.0,5.0
1296.0,Bock,7.0,90.0,5.0
1296.0,Weissbier,8.0,95.0,4.3
842.0,Terminator Stout,3.0,42.0,6.45
445.0,Industrial IPA,3.0,32.0,7.4
445.0,IPA,3.0,31.0,6.2
445.0,Possession Porter,2.0,25.0,5.6
445.0,Steamer Glide Stout,3.0,42.0,4.8
445.0,Brown Ale,3.0,38.0,5.6
445.0,Hefe-Weizen,4.0,50.0,5.8
445.0,Lighthouse Ale,3.0,26.0,4.3
1124.0,Gale Force IPA,3.0,31.0,5.6
1124.0,Porter,2.0,25.0,5.8
1124.0,Nut Brown,3.0,38.0,4.3
1124.0,Amber Ale,3.0,38.0,5.1
1124.0,Hefe Weizen,8.0,95.0,4.6
1151.0,Skibbereen Stout,3.0,42.0,5.3
1151.0,Free Bike Amber,3.0,33.0,4.5
1151.0,Highwater Porter,2.0,25.0,6.0
1151.0,Skagit Brown Ale,3.0,38.0,4.8
1151.0,Yellowjacket Pale Ale,3.0,26.0,4.5
1151.0,Del Rio Lager,8.0,95.0,4.0
504.0,India Pale Ale,3.0,26.0,6.6
504.0,Porter,2.0,25.0,5.9
504.0,Hefeweizen,4.0,50.0,4.3
526.0,WinterFish Ale,3.0,26.0,7.5
526.0,Organic India Pale Ale,3.0,31.0,6.7
526.0,Wild Salmon Pale Ale,3.0,26.0,4.0
526.0,Organic Amber Ale,3.0,33.0,5.0
526.0,Blind Pig Dunkelweizen,8.0,95.0,4.7
526.0,Whistling Pig Hefeweizen,8.0,95.0,4.5
1030.0,Snow Cap,1.0,13.0,7.0
1030.0,DPA,3.0,26.0,5.1
1030.0,Krystal Weizen,8.0,95.0,4.9
1030.0,Thunder Head IPA,3.0,31.0,6.7
1030.0,Amber Weizen,8.0,95.0,5.5
1030.0,Hefeweizen,8.0,95.0,5.2
494.0,No Doubt Stout,3.0,42.0,5.75
494.0,Riot Ale,3.0,26.0,7.5
494.0,IPA,3.0,31.0,5.5
494.0,Alembic Pale,3.0,26.0,5.5
494.0,Luna Weizen,8.0,95.0,4.5
1185.0,Cream Stout,3.0,42.0,6.5
160.0,MoJo India Pale Ale,3.0,31.0,6.8
526.0,Old Woody 2005,1.0,13.0,10.0
431.0,Urthel Hop-It,5.0,72.0,9.5
641.0,Super Natural Oatmeal Stout,3.0,42.0,8.0
641.0,Imperial Gold Malt Liquor,8.0,95.0,9.9
1177.0,Double Daddy,3.0,26.0,9.5
21.0,Wee Heavy,1.0,15.0,9.5
540.0,Horn Dog,3.0,35.0,10.2
459.0,Olde School Barleywine,3.0,35.0,15.04
1115.0,Urbock 23Â°,7.0,92.0,9.6
1204.0,Stone IPA,3.0,31.0,6.9
221.0,Hefe-Weizen,4.0,50.0,5.2
368.0,Xingu,7.0,86.0,4.7
562.0,Slip Knot Imperial IPA 2006,3.0,31.0,7.8
447.0,Bottleworks IPA,3.0,31.0,8.5
919.0,Old Rasputin Russian Imperial Stout,3.0,43.0,9.0
604.0,Yeti Imperial Stout,3.0,43.0,9.5
745.0,Winter-Traum,7.0,84.0,5.4
301.0,Poperings Hommel Ale,3.0,26.0,7.5
590.0,Princess of Darkness Porter,2.0,25.0,4.6
590.0,Impromptu Pale Ale,3.0,26.0,5.0
590.0,Steinworthy Oktoberfest,7.0,84.0,6.0
590.0,Bugeater Brown Ale,3.0,38.0,4.4
590.0,Tin Lizzie Hefeweizen,4.0,50.0,5.5
169.0,Orval Trappist Ale,5.0,72.0,6.9
671.0,Entire Stout,3.0,42.0,4.5
1056.0,Ivanhoe,3.0,26.0,5.2
370.0,Negra,7.0,86.0,5.4
1303.0,DoppelSticke,7.0,90.0,8.5
1303.0,Sticke,3.0,38.0,6.0
1303.0,Alt,3.0,38.0,4.5
742.0,Hitachino Nest Japanese Classic Ale,1.0,2.0,7.0
1204.0,9th Anniversary IPA,3.0,31.0,7.5
622.0,Adam,1.0,13.0,10.0
1307.0,Terrible,5.0,72.0,10.5
935.0,5 Barrel Pale Ale,1.0,1.0,5.3
175.0,Blonde,5.0,72.0,6.0
1331.0,Baltas Alus,4.0,50.0,5.2
1177.0,Untouchable Pale Ale,3.0,26.0,5.5
21.0,X Extra Pale Ale,3.0,26.0,5.0
892.0,Moylander Double IPA,3.0,32.0,8.5
803.0,Indica India Pale Ale,3.0,26.0,6.5
919.0,Old Stock Ale 2004,1.0,13.0,11.4
604.0,Old Ruffian,3.0,35.0,10.2
745.0,Asam-Bock,7.0,90.0,6.9
1177.0,Big Daddy IPA,3.0,31.0,6.5
604.0,Titan IPA,3.0,31.0,6.8
1185.0,St Peter's Organic Ale,1.0,1.0,4.5
1185.0,Old-Style Porter,2.0,25.0,5.1
21.0,Speedway Stout,3.0,43.0,12.0
441.0,Quail Springs IPA,3.0,31.0,6.0
447.0,IPA,3.0,31.0,5.5
26.0,Cambonator Doppelbock,7.0,90.0,7.2
156.0,Porter Czarny Boss / Black BOSS Porter,3.0,42.0,9.6
604.0,Oak Aged Yeti Imperial Stout,3.0,43.0,9.5
1315.0,Double IPA,3.0,31.0,6.8
1315.0,Blackstone Stout,3.0,42.0,5.9
691.0,Red Ale,3.0,33.0,5.5
823.0,Schuylkill Punch,11.0,121.0,6.0
823.0,Nokdechiloff,3.0,35.0,12.7
823.0,California Dreaming,3.0,32.0,8.0
823.0,Manayunk Lager,7.0,84.0,6.4
823.0,Brilliant Barstool,1.0,1.0,5.1
823.0,Krooks Mill,3.0,26.0,5.3
823.0,Bohemian Blonde,7.0,77.0,4.7
503.0,Trompe La Mort,7.0,90.0,7.4
916.0,Wee Heavier,1.0,15.0,9.5
283.0,Gueuze 1882,5.0,70.0,5.0
1321.0,Regiment Pale Ale,3.0,26.0,6.1
1321.0,Red Coat Ale,3.0,33.0,5.7
1158.0,Instigator Doppelbock,7.0,90.0,7.5
1158.0,Helles Bock,7.0,90.0,6.6
1158.0,Anniversary IPA Ahtanum,3.0,31.0,7.2
1158.0,Anniversary IPA Glacier,3.0,31.0,7.2
1158.0,Route 113 IPA,3.0,31.0,7.2
1158.0,Featherweight Lager,8.0,95.0,4.1
1158.0,Royal Weisse,4.0,50.0,5.7
1158.0,Phoenix Pale Ale,3.0,26.0,5.5
409.0,Golden Treasure,3.0,37.0,4.2
409.0,Crabby Larry's Irish Red Ale,2.0,22.0,6.0
409.0,Calico Jack Amber Ale,3.0,33.0,5.4
841.0,East Kent IPA,3.0,31.0,6.6
841.0,Black Lab Stout,3.0,42.0,5.7
841.0,Old Rogue Pale Ale,3.0,26.0,5.5
841.0,Unicorn Amber Ale,3.0,33.0,4.0
841.0,Light Lager,8.0,95.0,3.5
700.0,Russian Imperial Stout,3.0,42.0,9.5
700.0,Ironbound Ale,3.0,26.0,5.1
700.0,Anvil Ale,1.0,5.0,4.8
549.0,Dirty Bastard Scotch Style Ale,1.0,15.0,8.5
71.0,Anniversary Ale,1.0,13.0,9.0
62.0,The Beast Grand Cru,5.0,66.0,14.9
612.0,Wexford Irish Cream Ale,11.0,113.0,5.0
98.0,Wee Heavy,1.0,15.0,6.5
26.0,Winterfestival,7.0,84.0,5.5
15.0,St. Martin Doppelbock,7.0,90.0,7.5
1181.0,Sprecher Doppelbock,7.0,92.0,7.85
527.0,Big Boat Oatmeal Stout,3.0,42.0,6.6
527.0,XXX English Ale,3.0,26.0,6.6
527.0,Starfire Pale Ale,3.0,26.0,6.2
527.0,Lighthouse Ale,8.0,95.0,4.4
1169.0,Nut Brown Ale,3.0,38.0,4.2
1169.0,Honey Pilsner,8.0,95.0,4.5
296.0,Grotten Brown,3.0,29.0,6.7
765.0,Imperial Stout,3.0,42.0,8.2
765.0,Censored (aka The Kronic),3.0,33.0,5.9
703.0,Wee Beast,1.0,15.0,7.0
1242.0,IPA,3.0,31.0,6.7
1366.0,Princess of Darkness Porter,2.0,25.0,5.4
592.0,Plaid Bastard,1.0,15.0,8.0
371.0,Rye On,8.0,95.0,4.8
36.0,Loyal Duke Scotch Ale,1.0,15.0,8.6
491.0,Otis Alt,3.0,38.0,5.3
1258.0,American Pale Ale,3.0,26.0,5.2
866.0,Weathertop Doppelbock,7.0,90.0,7.3
601.0,Pioneer Peak Porter,2.0,25.0,4.3
1027.0,Four Alarm Alt,3.0,38.0,4.8
1129.0,Thunderhead Amber Ale,3.0,33.0,6.0
1305.0,Emancipator,7.0,90.0,8.3
76.0,Superhop Ale,3.0,26.0,5.6
144.0,Oatmeal Stout,1.0,21.0,4.5
537.0,Ironhead Porter Old No. 3,2.0,25.0,6.0
263.0,Trappist Westvleteren 8,5.0,60.0,8.0
1379.0,St. Charles ESB,1.0,5.0,4.5
440.0,Redwing,3.0,33.0,4.73
440.0,Pale Ale,3.0,26.0,5.5
440.0,Oatmeal Stout,3.0,42.0,6.54
440.0,Nut Brown Ale,3.0,38.0,5.2
440.0,Singletrack Copper Ale,3.0,26.0,5.57
440.0,Pilsner,8.0,95.0,4.99
236.0,Thunder Stout,3.0,42.0,4.95
236.0,Autumn Ale,3.0,38.0,6.7
1045.0,Mortality Stout,3.0,42.0,7.5
1243.0,Big Hoppy Monster,3.0,33.0,8.75
159.0,Strom Bomb Stout,3.0,42.0,7.3
376.0,IPA,3.0,31.0,6.9
376.0,Black Cat Stout,3.0,42.0,6.15
540.0,Dogtoberfest Octoberfest,7.0,84.0,5.3
1064.0,Rocktoberfest,7.0,84.0,5.0
869.0,Black H2O Oatmeal Stout,1.0,21.0,6.2
869.0,Masala Mama IPA,3.0,31.0,5.9
869.0,Hope & King Scotch Ale,1.0,15.0,6.0
869.0,West Bank Pub Ale,1.0,1.0,4.6
869.0,Bright Spot Golden Ale,3.0,37.0,4.5
1191.0,Maibock,7.0,90.0,7.2
793.0,Hahn Special Vintage 2000,1.0,13.0,8.0
157.0,Samuel Adams Chocolate Bock,7.0,90.0,5.5
1012.0,Benchmark Old Ale,1.0,13.0,9.9
62.0,Czar Imperial Stout,3.0,42.0,11.9
442.0,Guinness Foreign Extra,3.0,42.0,6.5
953.0,Dragonhead Stout,3.0,42.0,4.0
447.0,Lava Rock Porter,2.0,25.0,7.0
662.0,Porter,7.0,86.0,5.8
334.0,Auburn Ale,3.0,33.0,5.0
498.0,Old 95,1.0,13.0,7.0
588.0,Premium Light Lager,8.0,95.0,4.5
945.0,Hop Maniac IPA,3.0,31.0,6.5
945.0,Steamroller Stout,3.0,42.0,6.0
945.0,Hazy Daze Hefeweizen,4.0,50.0,5.5
945.0,Patriot Pale Ale,3.0,26.0,5.2
945.0,Alt-Er-Ego Amber,3.0,38.0,5.0
68.0,Come About Imperial Stout,3.0,43.0,9.0
68.0,Navigator Doppelbock,7.0,92.0,8.9
1238.0,Hefeweizen,4.0,55.0,7.5
751.0,Fire Rock Pale Ale,3.0,26.0,5.8
524.0,Double Barrel Ale,3.0,33.0,5.0
404.0,Island Pale Ale (IPA),3.0,31.0,7.0
68.0,Dorado Double IPA,3.0,32.0,9.6
1204.0,Levitation Ale,3.0,33.0,4.4
1204.0,Imperial Stout 2003,3.0,42.0,9.4
29.0,Pure Hoppiness,3.0,32.0,8.0
1204.0,Smoked Porter,2.0,25.0,5.9
1204.0,Stone Pale Ale,3.0,26.0,5.4
936.0,Torrey Pines IPA,3.0,31.0,6.8
936.0,Sunset Amber Ale,3.0,33.0,5.0
936.0,Paradise Pale Ale,3.0,26.0,4.8
936.0,Sweet Spot Hefe,4.0,50.0,5.5
936.0,California Gold,8.0,95.0,4.5
1009.0,Broken Keg Ice Bock,7.0,90.0,15.0
1009.0,Z-U-Later Doppelbock,7.0,90.0,8.0
1009.0,Frank Double IPA,3.0,31.0,8.5
731.0,Downtown After Dark,3.0,38.0,12.0
1181.0,Sprecher Russian Imperial Stout,3.0,43.0,8.5
1181.0,Sprecher Abbey Triple,5.0,61.0,8.41
696.0,Blackfriar,1.0,15.0,7.0
306.0,Rycerskie,7.0,90.0,7.0
358.0,Satin Solstice Imperial Stout,3.0,43.0,7.5
540.0,Heller Hound Bock Beer,7.0,91.0,6.2
765.0,Sirius,11.0,113.0,7.0
299.0,Troubadour,3.0,26.0,6.5
322.0,Empire India Pale Ale,1.0,2.0,7.5
671.0,Thunder Storm,8.0,95.0,5.0
321.0,Roggenbier,8.0,95.0,5.5
913.0,Dark Pilsener,8.0,95.0,5.5
1298.0,Northwind Imperial Stout,3.0,42.0,7.5
268.0,Geuze Boon,5.0,70.0,6.0
1115.0,Samichlaus Bier 2003,7.0,90.0,14.0
961.0,Porter IV,3.0,42.0,7.2
659.0,Doppel-Hirsch Bavarian-Doppelbock,7.0,90.0,7.2
255.0,Bottle Conditioned Porter,2.0,25.0,5.5
255.0,Black Strap Stout,3.0,42.0,6.0
659.0,Bavarian-Weissbier Hefeweisse / Weisser Hirsch,4.0,50.0,5.2
853.0,Celis White,5.0,72.0,3.9
255.0,Bridgeport India Pale Ale,3.0,31.0,5.5
1204.0,7th Anniversary IPA,3.0,31.0,7.7
993.0,Porter Boom,2.0,25.0,8.0
1290.0,Bajuvator Doppelbock,7.0,90.0,7.2
520.0,Roundabout Oatmeal Stout,1.0,21.0,6.0
919.0,Old Stock Ale 2002,1.0,13.0,11.4
1204.0,Ruination IPA,3.0,32.0,7.7
62.0,Salvation,5.0,72.0,9.0
803.0,Downtown Brown,3.0,38.0,5.0
1181.0,Sprecher Oktoberfest,7.0,84.0,5.75
94.0,Hop Rod Rye,3.0,32.0,8.0
512.0,Saranac Hefeweizen,4.0,50.0,5.6
1301.0,Chief Blackhawk Porter,2.0,25.0,5.6
619.0,Dort,7.0,90.0,6.5
1219.0,Sherwood Forest IPA,3.0,31.0,6.0
549.0,Centennial IPA,3.0,31.0,7.2
1260.0,Dreadnaught Imperial IPA,3.0,32.0,9.5
463.0,Dubbel Dragon,5.0,72.0,7.2
1169.0,Red Lager,8.0,95.0,4.6
550.0,Blackburn Doppelbock,7.0,90.0,7.9
947.0,Porter,2.0,25.0,6.0
347.0,Scottish Ale,1.0,15.0,5.8
779.0,Left Hand Milk Stout,1.0,20.0,5.9
1181.0,Special Amber,8.0,95.0,5.0
1217.0,Malteser Weissbier,4.0,50.0,5.0
40.0,Doppelbock Dunkel,7.0,90.0,7.0
752.0,Schwarzbier,7.0,86.0,4.8
604.0,Bee Sting Honey Ale,3.0,26.0,5.9
1243.0,The Iron Tankard,3.0,33.0,9.4
637.0,A. LeCoq Imperial Extra Double Stout 2000,3.0,42.0,9.0
93.0,Genuine Irish Stout,3.0,42.0,4.1
287.0,Liefmans Kriekbier,5.0,70.0,6.0
520.0,Manifesto Pale Ale,3.0,26.0,5.3
727.0,Harvest Ale 2000,1.0,13.0,11.5
94.0,Racer 5 IPA,3.0,31.0,7.0
919.0,Old Stock Ale 2001,1.0,13.0,11.4
94.0,Big Bear Black Stout,3.0,43.0,8.1
857.0,Tripel Crown,5.0,61.0,10.0
572.0,Prize Old Ale,1.0,13.0,9.0
832.0,Weissbier Hell,4.0,50.0,5.2
309.0,Porter,3.0,42.0,9.5
742.0,Hitachino Nest Sweet Stout,3.0,42.0,3.5
563.0,Vintage Ale 1999,1.0,13.0,8.5
